                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7881,                 3.1863,                 3.6572,                0.40863,                0.57543,                0.35967,                0.11363,                 2.3549,                 4.9622,                 3.2196,             0.00066312,             0.00066312,             0.00066312
                      2,                 1.9009,                 1.9902,                 2.4946,                0.78708,                0.81685,                0.86127,                0.49353,                 1.4614,                 1.6584,                 2.0866,              0.0013166,              0.0013166,              0.0013166
                      3,                 1.5844,                 1.4437,                 2.1478,                0.89637,                0.94017,                0.94403,                0.58715,                  1.298,                 1.1042,                 1.8375,              0.0019569,              0.0019569,              0.0019569
                      4,                 1.4646,                 1.2446,                 2.0195,                 0.8573,                0.93245,                0.93307,                0.58072,                 1.3278,                 1.7054,                 1.8864,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3773,                 1.1381,                 1.9283,                0.90122,                0.96836,                0.95791,                0.62728,                 1.2272,                0.96676,                 1.7529,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3306,                 1.0528,                 1.8849,                0.90381,                 0.9524,                0.94635,                0.62857,                 1.1386,                0.92767,                 1.7084,               0.001901,               0.001901,               0.001901
                      7,                 1.2931,                0.99261,                 1.8412,                0.91389,                 0.9614,                0.96752,                0.65833,                 1.1313,                0.92219,                 1.6671,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2726,                0.95407,                 1.8165,                0.92766,                0.96751,                0.96776,                 0.6502,                 1.1974,                 0.7869,                 1.6901,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2492,                0.91862,                 1.7969,                0.92117,                0.96595,                0.96796,                 0.6744,                 1.0888,                0.75158,                 1.6003,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2102,                0.88489,                 1.7556,                0.92545,                0.96172,                0.95904,                0.67285,                 1.0901,                0.70675,                 1.5782,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1891,                0.86639,                 1.7362,                0.92827,                0.96573,                0.96779,                0.68102,                 1.0668,                0.76961,                  1.581,               0.001802,               0.001802,               0.001802
                     12,                 1.1691,                 0.8366,                 1.7154,                0.91913,                0.98335,                0.97331,                0.68549,                 1.0745,                0.76141,                 1.5663,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1596,                0.83153,                 1.7083,                0.90777,                0.98134,                0.95305,                0.69246,                  1.021,                0.72064,                 1.5521,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1405,                 0.8069,                 1.6885,                0.92586,                0.98411,                0.97655,                0.70936,                0.99405,                0.65978,                 1.5237,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1368,                0.78895,                  1.706,                0.91823,                0.99132,                0.97512,                0.69864,                 1.0643,                0.78459,                 1.5614,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1271,                0.77393,                 1.6741,                0.91905,                0.98227,                0.97636,                0.69835,                 1.0817,                0.67427,                 1.5465,               0.001703,               0.001703,               0.001703
                     17,                 1.1091,                0.75975,                 1.6652,                0.91987,                0.97234,                0.97241,                0.71005,                 1.0259,                0.66524,                 1.5121,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0952,                0.75571,                 1.6523,                0.92323,                0.98248,                0.97106,                0.72279,                0.99239,                0.72126,                 1.4762,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0769,                0.73545,                  1.623,                0.92711,                0.98596,                 0.9716,                0.72979,                0.97459,                0.68937,                 1.4752,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0695,                0.73451,                 1.6149,                0.92035,                0.98456,                0.96085,                 0.7366,                0.94674,                0.64037,                 1.4673,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0226,                0.68998,                 1.5793,                0.92565,                0.98914,                0.97765,                0.72758,                0.97716,                0.71233,                 1.4781,               0.001604,               0.001604,               0.001604
                     22,                  1.019,                0.69323,                 1.5731,                0.92605,                0.98284,                0.96526,                 0.7493,                0.93486,                0.61113,                  1.453,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0517,                0.70681,                 1.6022,                0.92834,                0.98553,                0.97188,                0.74496,                0.93198,                 0.6642,                 1.4451,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0551,                0.70425,                 1.6146,                0.92317,                0.99067,                0.97643,                0.74462,                0.93589,                0.67305,                 1.4279,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.024,                 0.6822,                  1.582,                0.92498,                0.98585,                0.98016,                0.74503,                 0.9461,                0.60738,                 1.4307,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0226,                0.67105,                 1.5781,                0.92129,                0.98199,                0.98079,                0.74445,                0.91851,                0.62973,                 1.4126,               0.001505,               0.001505,               0.001505
                     27,                  1.024,                0.67673,                 1.5729,                0.92549,                0.98842,                0.97333,                0.75134,                0.92078,                0.64116,                  1.423,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0371,                0.68259,                  1.581,                0.93096,                0.98888,                0.98437,                0.76549,                0.90977,                  0.614,                 1.4202,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.027,                0.67569,                 1.5753,                 0.9346,                0.97911,                0.98416,                0.75085,                0.95325,                0.61148,                 1.4479,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0121,                0.66202,                 1.5668,                0.93321,                0.98867,                0.98349,                0.77371,                0.86996,                0.60802,                 1.3805,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0061,                0.66586,                 1.5646,                0.93379,                0.97978,                0.98287,                0.76417,                 0.8962,                0.57648,                 1.3818,               0.001406,               0.001406,               0.001406
                     32,                 1.0103,                0.65957,                   1.56,                0.93112,                 0.9827,                0.98243,                0.75178,                0.90518,                 0.6142,                 1.4111,              0.0013862,              0.0013862,              0.0013862
                     33,                0.99279,                0.64276,                  1.545,                 0.9362,                 0.9807,                0.98138,                0.76808,                  0.874,                0.51262,                 1.3696,              0.0013664,              0.0013664,              0.0013664
                     34,                0.99879,                0.63744,                 1.5528,                0.93823,                0.98006,                 0.9829,                0.77584,                0.88212,                  0.546,                 1.3719,              0.0013466,              0.0013466,              0.0013466
                     35,                0.99836,                0.64738,                 1.5521,                0.93565,                0.98713,                0.98404,                0.77828,                0.86616,                0.57761,                 1.3751,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9789,                0.64129,                  1.535,                0.93166,                0.98874,                0.98276,                0.77577,                0.86067,                0.57856,                  1.366,               0.001307,               0.001307,               0.001307
                     37,                0.97112,                0.62238,                  1.531,                0.94739,                0.97234,                  0.983,                0.77217,                 0.8673,                0.54759,                 1.3717,              0.0012872,              0.0012872,              0.0012872
                     38,                0.97281,                 0.6225,                 1.5278,                0.93303,                 0.9881,                0.98365,                0.77371,                0.87271,                0.60324,                  1.359,              0.0012674,              0.0012674,              0.0012674
                     39,                0.97372,                0.61216,                 1.5273,                 0.9346,                0.98649,                0.98328,                0.78745,                0.84468,                 0.5425,                 1.3485,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9789,                0.62569,                 1.5311,                0.92401,                0.98971,                0.98016,                0.77215,                0.88257,                0.61667,                 1.3789,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95647,                0.61509,                 1.5097,                0.93491,                0.98864,                0.98678,                0.78015,                0.86223,                0.58088,                  1.348,               0.001208,               0.001208,               0.001208
                     42,                0.96134,                0.61932,                 1.5156,                 0.9298,                0.98681,                0.98432,                0.78073,                0.85254,                0.52332,                  1.344,              0.0011882,              0.0011882,              0.0011882
                     43,                0.95352,                0.60035,                 1.5124,                0.94812,                0.97576,                0.98477,                0.77895,                0.85755,                0.51382,                  1.361,              0.0011684,              0.0011684,              0.0011684
                     44,                0.94508,                0.60582,                 1.5099,                0.94465,                 0.9826,                0.98778,                0.79072,                0.83017,                0.49251,                 1.3331,              0.0011486,              0.0011486,              0.0011486
                     45,                0.95977,                0.60239,                 1.5163,                0.93252,                0.99121,                0.98303,                0.77594,                0.88981,                0.51894,                 1.3586,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.9329,                0.59095,                  1.492,                0.93075,                0.99132,                0.98509,                0.78959,                0.84044,                0.59003,                 1.3377,               0.001109,               0.001109,               0.001109
                     47,                0.94898,                0.59514,                 1.5042,                0.93692,                0.98649,                0.98139,                0.78935,                0.84141,                0.53917,                 1.3244,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.9343,                0.59758,                  1.487,                0.94017,                0.98392,                0.98134,                 0.7927,                0.83473,                0.49996,                 1.3214,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92429,                0.57943,                 1.4749,                0.93262,                 0.9881,                0.98267,                0.79467,                0.82081,                0.47621,                 1.3209,              0.0010496,              0.0010496,              0.0010496
                     50,                0.93156,                0.58146,                 1.4951,                 0.9352,                0.98404,                0.98441,                0.80096,                0.81275,                0.52995,                 1.3102,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9218,                0.56916,                 1.4749,                0.94107,                0.98585,                0.98843,                0.79782,                0.81998,                0.48622,                 1.3137,                0.00101,                0.00101,                0.00101
                     52,                0.91997,                0.57523,                 1.4783,                0.94478,                0.98649,                0.98664,                0.79306,                0.82871,                0.50459,                 1.3108,              0.0009902,              0.0009902,              0.0009902
                     53,                0.92469,                0.58711,                 1.4784,                 0.9386,                0.98834,                0.98519,                0.79518,                0.82104,                0.55645,                 1.3163,              0.0009704,              0.0009704,              0.0009704
                     54,                0.92119,                0.58889,                 1.4754,                0.94784,                 0.9819,                 0.9886,                0.80031,                0.81539,                0.48495,                 1.3087,              0.0009506,              0.0009506,              0.0009506
                     55,                0.91352,                0.57021,                 1.4765,                0.94497,                0.98316,                0.98797,                0.79992,                0.80705,                 0.5135,                 1.3013,              0.0009308,              0.0009308,              0.0009308
                     56,                0.90425,                0.56668,                 1.4709,                0.94681,                0.97907,                  0.989,                0.79555,                 0.8134,                0.48081,                 1.3094,               0.000911,               0.000911,               0.000911
                     57,                0.91231,                0.56722,                 1.4696,                0.94237,                0.98879,                 0.9895,                0.80181,                 0.8141,                0.49013,                 1.3025,              0.0008912,              0.0008912,              0.0008912
                     58,                0.91084,                0.56438,                  1.461,                0.95003,                0.97236,                0.98526,                0.80013,                0.79904,                0.50624,                 1.2884,              0.0008714,              0.0008714,              0.0008714
                     59,                0.91093,                0.55992,                 1.4627,                0.94835,                0.97813,                0.98821,                0.80362,                0.79967,                0.47148,                 1.2967,              0.0008516,              0.0008516,              0.0008516
                     60,                0.89181,                0.54952,                 1.4484,                0.95466,                0.97781,                0.98906,                0.80268,                0.81559,                0.48528,                 1.3007,              0.0008318,              0.0008318,              0.0008318
                     61,                0.89323,                0.55244,                 1.4458,                0.94678,                0.98553,                0.98943,                0.80548,                0.79021,                0.47941,                 1.2841,               0.000812,               0.000812,               0.000812
                     62,                 0.8988,                0.55994,                 1.4524,                0.95535,                 0.9733,                0.98741,                0.80945,                0.78176,                0.46898,                  1.277,              0.0007922,              0.0007922,              0.0007922
                     63,                0.89202,                0.54573,                 1.4433,                0.94966,                0.98293,                0.98869,                0.81114,                0.78447,                0.46089,                 1.2696,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88274,                0.55207,                 1.4353,                 0.9638,                0.96756,                0.98743,                0.80859,                0.77292,                0.45985,                 1.2615,              0.0007526,              0.0007526,              0.0007526
                     65,                0.88171,                0.54956,                 1.4363,                0.96639,                0.96196,                0.98735,                0.81164,                 0.7786,                0.45832,                 1.2709,              0.0007328,              0.0007328,              0.0007328
                     66,                0.88972,                0.54987,                 1.4495,                0.95257,                0.97395,                0.98816,                0.80446,                0.78191,                0.43735,                 1.2814,               0.000713,               0.000713,               0.000713
                     67,                0.89197,                0.54939,                 1.4485,                0.94211,                0.98926,                0.98817,                0.80411,                 0.7949,                0.44595,                 1.2862,              0.0006932,              0.0006932,              0.0006932
                     68,                0.87088,                0.53161,                   1.43,                0.94786,                0.98167,                0.98533,                0.81152,                0.77312,                0.46533,                 1.2688,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.8794,                0.54312,                 1.4377,                0.95685,                0.97555,                0.98936,                0.81656,                0.76403,                0.48397,                 1.2579,              0.0006536,              0.0006536,              0.0006536
                     70,                0.86657,                0.53317,                 1.4271,                0.95404,                0.97941,                0.98943,                0.81661,                0.76617,                0.46177,                  1.261,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87131,                0.53645,                 1.4322,                0.94203,                0.98649,                0.98829,                0.81906,                0.76384,                0.44671,                 1.2618,               0.000614,               0.000614,               0.000614
                     72,                0.87161,                0.53104,                 1.4228,                0.94747,                0.98649,                0.98981,                0.82121,                0.76633,                0.42813,                 1.2627,              0.0005942,              0.0005942,              0.0005942
                     73,                0.85834,                0.52565,                 1.4199,                0.96081,                0.96687,                0.98865,                0.82041,                0.76009,                0.42809,                 1.2537,              0.0005744,              0.0005744,              0.0005744
                     74,                0.85957,                0.52736,                 1.4217,                0.94147,                 0.9926,                0.99051,                0.81758,                0.76644,                0.44275,                   1.26,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85904,                0.52327,                 1.4216,                0.95858,                0.97515,                0.99009,                0.82559,                 0.7535,                0.43277,                  1.253,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85013,                0.52217,                 1.4058,                 0.9642,                0.97036,                0.99052,                0.82113,                0.75414,                 0.4228,                 1.2497,               0.000515,               0.000515,               0.000515
                     77,                0.86033,                0.51761,                 1.4193,                0.95353,                0.98333,                 0.9908,                0.82074,                0.75296,                0.45378,                 1.2444,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84741,                0.51022,                 1.4089,                0.96037,                0.97424,                0.98985,                0.82847,                0.74485,                0.42629,                 1.2442,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.8483,                0.51752,                 1.4113,                0.96677,                0.96526,                0.98977,                 0.8225,                0.74718,                0.42072,                 1.2396,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83541,                 0.5101,                 1.3976,                0.94855,                0.98617,                0.98876,                0.82233,                0.74784,                0.42802,                 1.2459,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84269,                0.50925,                 1.4067,                0.95625,                0.97715,                0.98872,                0.82362,                0.74257,                0.41624,                 1.2352,               0.000416,               0.000416,               0.000416
                     82,                0.83043,                 0.5065,                 1.3901,                 0.9576,                0.97351,                0.98872,                0.82584,                0.73781,                0.42491,                 1.2357,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83816,                0.50832,                 1.3994,                0.96221,                0.96944,                0.98935,                0.82421,                0.73698,                0.44374,                 1.2346,              0.0003764,              0.0003764,              0.0003764
                     84,                0.82693,                0.50947,                 1.3976,                0.96444,                0.96832,                0.99016,                0.82214,                0.74139,                0.40528,                 1.2417,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83782,                0.50732,                  1.405,                0.95298,                0.98437,                0.99096,                0.82306,                0.73693,                 0.4208,                 1.2322,              0.0003368,              0.0003368,              0.0003368
                     86,                0.83179,                0.50228,                 1.3965,                  0.956,                0.97829,                0.99087,                0.82523,                0.73336,                0.41862,                 1.2282,               0.000317,               0.000317,               0.000317
                     87,                0.82873,                0.50025,                 1.3931,                0.95197,                0.98424,                0.99048,                0.83069,                0.72949,                0.41807,                 1.2252,              0.0002972,              0.0002972,              0.0002972
                     88,                0.81825,                0.49248,                 1.3825,                0.96566,                0.96779,                0.99047,                0.82888,                0.72712,                0.40638,                 1.2209,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82397,                0.49505,                 1.3915,                0.96496,                0.96977,                 0.9908,                0.82755,                0.72964,                0.42389,                 1.2246,              0.0002576,              0.0002576,              0.0002576
                     90,                0.82751,                0.49895,                 1.3893,                  0.954,                0.98062,                0.99023,                 0.8288,                0.72489,                0.42628,                 1.2173,              0.0002378,              0.0002378,              0.0002378
                     91,                0.73442,                0.36409,                 1.3058,                0.94949,                0.98559,                0.99055,                   0.83,                 0.7256,                0.43804,                 1.2195,               0.000218,               0.000218,               0.000218
                     92,                0.72914,                0.34982,                 1.3056,                0.95748,                0.97783,                0.99119,                 0.8323,                0.71699,                0.42935,                 1.2111,              0.0001982,              0.0001982,              0.0001982
